,Emotion,Text,Clean_Text
8963,joy,We r out shopping.  Me &amp; mr fish and 2 bil and mil.  Bought a ornament started to cry had to leave store.  Does this get easier?,r shopping amp mr fish 2 bil mil Bought ornament started cry leave store easier
8964,sadness,Lapit kn dating. Magiging friends pb tyo??? Magppansinan pb??? O wala na tlga chance to talk ,Lapit kn dating Magiging friends pb tyo Magppansinan pb wala na tlga chance talk
8965,sadness,Surely someone somewhere knows who killed Ann Heron and that person could ease the pain for her heartbroken family . ,Surely knows killed Ann Heron person ease pain heartbroken family 
8966,joy,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,friends birthday party closest friends pleasant happy good friends
8967,fear,"My father was very angry with me, and I locked me up in the shower. Then my father knocked his fist through the door, I was scared to death.",father angry me locked shower father knocked fist door scared death
8968,sadness,"&quot;Sometimes it takes to know #happiness, noise to #appreciate #silence and absence to value #presence&quot; ~ Unknown #fact #sotrue",quotSometimes takes know #happiness noise #appreciate #silence absence value #presencequot ~ Unknown #fact #sotrue
8969,anger,"In traffic I often get relatively angry with other drivers. Several transgressions make me mad, especially not yielding to priority traffic (e.g. coming from the right).",traffic relatively angry drivers transgressions mad especially yielding priority traffic (eg coming right)
8970,surprise,"The other side of the story is the pain felt by women when their children suffer , and their bewilderment when that suffering is self-inflicted . ",story pain felt women children suffer  bewilderment suffering selfinflicted 
8971,joy,wooWOOF Hear bells that are ringing Howlidays are so near Itz a wondrful time of th year Wishes for  &amp; good #Cheer 2u&amp;urs,wooWOOF Hear bells ringing Howlidays near Itz wondrful time th year Wishes amp good #Cheer 2uampurs
8972,joy," Oh , thank you.You are so sweet ! ",Oh  thank youYou sweet 
8973,neutral," No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . ", Im tourist  place amazing  bigger imagined  exciting  Theres 
8974,joy,"When I started a relation with a girl, with whom I have fallen in love already some time ago.",started relation girl fallen love time ago
8975,fear,"The week before I entered to army, when we were being selected. During 5 days I had to pass 10 hours a day waiting for the answer, which at last was the worst. The fear of being convoked, of hearing the fated phrase, was constant.",week entered army selected 5 days pass 10 hours day waiting answer worst fear convoked hearing fated phrase constant
8976,joy,"Temperamental differences operate once more with this new trio of junior heroes , whose elders , the three lieutenants , regard their pranks with mild amusement . ",Temperamental differences operate new trio junior heroes  elders  lieutenants  regard pranks mild amusement 
8977,joy,As an evening class teacher I got positive feedback.  When the atmosphere is good and a kind of relaxed understanding exists.,evening class teacher got positive feedback atmosphere good kind relaxed understanding exists
8978,surprise,"DIE weiß, was man bei Musik tun muss! #voice",DIE weiß man bei Musik tun muss #voice
8979,fear,"One day, early morning my mother who is healthy fell ill.  There was no doctor or compounder near by and for a few hours -8 A.M to 6 P.M she did not speak a single sentence, nor did she drink water or  milk.  There was no movement in her body and I felt really scared.  I almost lost my confidence about her survival.",day early morning mother healthy fell ill doctor compounder near hours 8 AM 6 PM speak single sentence drink water milk movement body felt scared lost confidence survival
8980,anger,@fashionface13 People are SO bad at it these days! We're so conditioned not to compliment each other/just deflect the compliment. ,  People bad days Were conditioned compliment other/just deflect compliment
8981,neutral," oh , steve . Stop it ! I am a bit nervous ! What if he doesn't call ? ",oh  steve  Stop  bit nervous  
8982,joy,Off to snuggle a four year old. Best part of the day.  ,snuggle year old Best day
8983,joy, Sally ? She is a bachelor girl . She is an excellent designer . Many of the company's advertisements are her child trains . ,Sally  bachelor girl  excellent designer  companys advertisements child trains 
8984,sadness,Christmas songs lie to me. The say jump in bed&amp;cover your head cause Santa clause is coming tonight..yet Santa doesn't come ,Christmas songs lie me jump bedampcover head cause Santa clause coming tonightyet Santa come
8985,sadness,@FixxCoffeehouse defo miss it now that i dont live in rathgar anymore! kept them in business when they opened! :o) #guiltypleasures,  defo miss dont live rathgar anymore kept business opened :o) #guiltypleasures
8986,disgust,We are watching that video of that girl getting beat by her father who is a judge. ,watching video girl getting beat father judge
8987,sadness,My father had a heart attack when I was not at home (I was still living with them).  He recovered relatively well although he had to retire (which implied relief from the stress of a small scale enterprise).,father heart attack home (I living them) recovered relatively retire (which implied relief stress small scale enterprise)
8988,joy,"omw too school , got a field trip . ",omw school  got field trip 
8989,surprise,"Listening to HipHop (Mos Def, Fugees, Common, J. Dillah) in the former communist part of Berlin. That's one thing I did NOT expect ",Listening HipHop (Mos Def Fugees Common J Dillah) communist Berlin Thats thing expect
8990,sadness,I wish this four day weekend lasted forever. Back to work in about 17 hours. ,wish day weekend lasted forever work 17 hours
8991,anger," We have been together for a year and usually , people who've been together a year , take their vacation together . ",year usually  people whove year  vacation 
8992,fear,Imagine the horror on my beloved 's face when he discovered I had in fact flung in the rubbish his much prized and read collection of Guitarist magazines ! ,Imagine horror beloved s face discovered fact flung rubbish prized read collection Guitarist magazines 
8993,joy,"@leethomascook @davetayls @DarkHorseIan Pancakes, maple syrup and bacon... ",      Pancakes maple syrup bacon
8994,joy,  A wise person said: Abundance in the universe is circulating..if it needs to multiply give it away...Bread on water...Give ,wise person said: Abundance universe circulatingif needs multiply awayBread waterGive
8995,surprise,can't wait to see his face tomorrow :D ,cant wait face tomorrow :D
8996,sadness,"Tinker Tailor Soldier Spy looks so great, but literally no theater in Athens or at home is playing it when it comes out on Friday. ",Tinker Tailor Soldier Spy looks great literally theater Athens home playing comes Friday
8997,surprise,@Bonita_Latina i aint gettin none tho lol i dont even wanna have sex this time i just need sum luvn lol!! ,  aint gettin tho lol dont wanna sex time need sum luvn lol
8998,sadness,"When my grandmother, my second mother died.",grandmother second mother died
8999,surprise,"ik moet een zelf bedachte gedicht maken voor school , oehh je mag zelf weten wt je erinzet !xd",ik moet een zelf bedachte gedicht maken voor school  oehh je mag zelf weten wt je erinzet xd
9000,fear,Matt Moore knew what was gonna happen to him if he tried to get that ball from D-Ware ,Matt Moore knew gonna happen tried ball DWare
9001,sadness," Sorry , we ' re sold out right now.Please come back next week . ",Sorry   sold right nowPlease come week 
9002,surprise,"Soo happy my main man is outta prison, 90 days?  @Gregnosworthy next time we're sneaking me into the tanning bed ",Soo happy main man outta prison 90 days   time were sneaking tanning bed
9003,anger,Lady followed her example rather than suffer at the hands of her infuriated master . ,Lady followed example suffer hands infuriated master 
9004,surprise,"If you thought &quot;Suga Free&quot; ( @djeclyps Dub Mix) was a banger, wait until you hear what I can't even mention is coming soon... ",thought quotSuga Freequot (   Dub Mix) banger wait hear cant mention coming soon
9005,sadness,"@Sammipie_123  i left early , i couldnt take it and i had to see my grandfather leave back to  ",  left early  couldnt grandfather leave
9006,anger,English teacher just added another project on top of our final. 1 week of school left.  ,English teacher added project final 1 week school left
9007,sadness,He don't love me.like he.love his IPhone. ,love melike helove IPhone
9008,sadness,I wanna be a little kid again these teenage girl problems are to much to handle :( ,wanna little kid teenage girl problems handle :(
9009,joy,I was working late on one of these bad nights when an excited Dr Laurent rushed into my office . ,working late bad nights excited Dr Laurent rushed office 
9010,anger,"He hoped she was n't offended , as a Times reporter . ",hoped nt offended  Times reporter 
9011,joy,We are off and have great excitement fishing up treasure ( fake ) tied to bladders . ,great excitement fishing treasure ( fake ) tied bladders 
9012,joy,When I read the newspaper that morning I found my candidature number on the admission list of the Chinese university.  I was satisfied and happy and the cumulative anxiety disappeared.  I only wanted to cry out that I had succeeded.,read newspaper morning found candidature number admission list Chinese university satisfied happy cumulative anxiety disappeared wanted cry succeeded
9013,anger," Well , I ’ m going to write a letter of complaint . ", ’ going write letter complaint 
9014,anger,Furious Tory MPs now want to go to the High Court to force a new ballot . ,Furious Tory MPs want High Court force new ballot 
9015,joy,It's awesome to find walnuts in my hoodie's pocket. ,awesome find walnuts hoodies pocket
9016,sadness," I fell on the way to school , and your bike got scratched . I'm really sorry . ",fell way school  bike got scratched  Im sorry 
9017,disgust,@mcshitty20 otherwise nate and cam end up wearing my clothes #weinerprobz,  nate cam end wearing clothes #weinerprobz
9018,joy,Now for the painful walk downstairs ,painful walk downstairs
9019,fear,Got ill.,Got ill
9020,joy,Fav quotes of tonight since 10:00. &quot;so glad to be home&quot; &quot;katelyn are you real?&quot; ,Fav quotes tonight 10:00 quotso glad homequot quotkatelyn realquot
9021,anger,make that 6 fire alarms in one night. fuck you derwent. ,6 fire alarms night fuck derwent
9022,joy,Seb reached Burford in a state of high excitement only to find that Superintending Constable Aplin was in London . ,Seb reached Burford state high excitement find Superintending Constable Aplin London 
9023,sadness, That ’ s a little troublesome . ,’ little troublesome 
9024,surprise,"I'm such a nice person , I usually never let my friends down . But when I do , I make it up to them . &amp; todays that day (: .",Im nice person  usually let friends    amp todays day (: 
9025,joy,Are YOU feeling the Twitter Love today? Spread it around. :-)  #smiles #coffee,feeling Twitter Love today Spread around :) #smiles #coffee
9026,sadness,I wish my hair was long enough to fish tail braid... ,wish hair long fish tail braid
9027,joy,#laughter had great time at kids party gave me energy to prepare to fly to Southampton - big presentation!,#laughter great time kids party gave energy prepare fly Southampton  big presentation
9028,joy,I just love opening my mailbox and finding it full of Christmas cards. ,love opening mailbox finding Christmas cards
9029,joy,"Train journey home from London, back to reality ",Train journey home London reality
9030,joy,"Wishing you like a bubble, floating &amp; free, &amp; #love that sets your heart afire with the truth of who you are. #YDB #blessing",Wishing like bubble floating amp free amp #love sets heart afire truth are #YDB #blessing
9031,joy,"Spending sometime with my newest God baby. She is so small 6lbs, 2 weeks. Oh the ",Spending newest God baby small 6lbs 2 weeks Oh
9032,joy,Cutting down the Christmas tree ,Cutting Christmas tree
9033,joy,Guinness is particularly pleased that its own employees can participate in these programmes through matched giving schemes . ,Guinness particularly pleased employees participate programmes matched giving schemes 
9034,joy,Working on my history project...,Working history project
9035,joy,Listening to the Apple Customer Support Hold Music. Now playing New Order: Age of Consent  Come hang out. ♫♪  ,Listening Apple Customer Support Hold Music playing New Order: Age Consent Come hang out ♫♪
9036,joy,@_illbasedswa6 dont be sad :( but i gotta stay here. whole fam fam is comin for thanksgiving. #sarcasm,  dont sad :( gotta stay here fam fam comin thanksgiving #sarcasm
9037,sadness,"Britt is heartbroken that her eight-year marriage to toyboy husband ` Slim "" Jim McDonnell , 31 , is to end in divorce . ",Britt heartbroken eightyear marriage toyboy husband  Slim  Jim McDonnell  31  end divorce 
9038,sadness,@BradfordReilly is ignoring my invitation to  Holiday Dinner.  He hates me.  ,  ignoring invitation Holiday Dinner hates me
9039,anger, I've already suffered enough without listening anymore to you ! ,Ive suffered listening anymore 
9040,fear,@delphplyon C'est une idée. Je lâcherai bien mon chat à la SIE mais j'ai peur qu'il se roule en boule et s'endorme ,  Cest une idée Je lâcherai bien mon chat à la SIE mais jai peur quil se roule en boule et sendorme
9041,fear,@CluMan011 False Evidence Appearing Real ,  False Evidence Appearing Real
9042,sadness,Today I feel like a battle of jhonny walker. I don't know why but I just wanna be drunk. Might is it just ,Today feel like battle jhonny walker know wanna drunk
9043,joy,I'd Rather Die Young Than Live My Life W/O You ,Id Die Young Live Life W/O
9044,joy,@JoeScavotto @maxblumer I want to hear it everyday for the rest of my days ,    want hear everyday rest days
9045,joy," Sure , I'll give you a call . ",Sure  Ill 
9046,anger,You may find your exasperation turns to inspiration ,find exasperation turns inspiration
9047,surprise,I love that moment when just seeing someone makes your entire day! ,love moment seeing makes entire day
9048,anger,One insider said last week : ` The sheer anger of people has taken everybody by surprise . ,insider said week :  sheer anger people taken everybody surprise 
9049,joy, You are such an expert on it . I don't know that . ,expert  know 
9050,sadness,My living and working conditions at home were unbearable. We used to live in a three room flat together with two more families. The discords caused a change - one of the families moved out. The other family stayed with us but I drifted away from my fiancT. In fact we were two families in the flat. Then I found myself alone in the struggle for this life because my fiancedid not stay next to me my grief and sorrow took on large proportions. I wanted to commit suicide but instead I threw myself against the cause of the irritation.,living working conditions home unbearable live room flat families discords caused change  families moved out family stayed drifted away fiancT fact families flat found struggle life fiancedid stay grief sorrow took large proportions wanted commit suicide instead threw cause irritation
9051,fear,@kissagod Beep you too! Scary chick. #loathing #algorithm,  Beep too Scary chick #loathing #algorithm
9052,anger,"I was at home, filling my tax report.  Nobody had time to help me.  I would have liked to do it quickly so that I could go and meet a friend of mine who had just returned from hospital.  I got angry as both my brother and my father refused to give me their calculator as I had not asked for it nicely.  I could not leave as I had to wait for help and the tax report had to be done.",home filling tax report time help me liked quickly meet friend returned hospital got angry brother father refused calculator asked nicely leave wait help tax report done
9053,sadness,@TheyCallMe_Loso Carlos! I lost your number and I got a new number! :( ,  Carlos lost number got new number :(
9054,anger,There was a hint of exasperation in his voice . ,hint exasperation voice 
9055,sadness,I'm not gonna be able to finish this movie before I have to leave :( ,Im gonna able finish movie leave :(
9056,anger,Frau Nordern allowed herself a note of exasperation . ,Frau Nordern allowed note exasperation 
9057,anger,@TrueGlambert3 now I went and saw Stacy's tweet myself... MB she is telling the truth... if so wtf? Imma investigate!! #detectivebert,  went saw Stacys tweet myself MB telling truth wtf Imma investigate #detectivebert
9058,fear,"I am an extremely lazy cook and nervous of long recipes , complicated sauces or anything risky such as a souffl . ",extremely lazy cook nervous long recipes  complicated sauces risky souffl 
9059,joy,my two hardest finals are going to be on the same day.. back to back. ,hardest finals going day back
9060,joy," I'm so happy . Even though we are both working , we get to spend a lot of time with each other in the evening and on the weekends . ",Im happy  working  spend lot time evening weekends 
9061,surprise, your phone sketches out and sends a picture to half your contacts instead of just one. to all you receivers,phone sketches sends picture half contacts instead one receivers
9062,surprise,@ikwilchocola Hihi jawel. . IK HAD JOU OOK VERTELD OVER MN ONENIGHTSTAND hahha ok. en dan vertel ik ook nog iets/ ,  Hihi jawel  IK JOU OOK VERTELD MN ONENIGHTSTAND hahha ok en dan vertel ik ook nog iets/
9063,surprise,@JacobsCrossTV @fabloj I met 'Bola' while shopping in one of our supermarkets in town (Kampala). I'm a HUGE JC fan what a PLEASANT ,    met Bola shopping supermarkets town (Kampala) Im HUGE JC fan PLEASANT
9064,joy,When your boyfriend takes a whole roll of toliet paper for you&gt;&gt;&gt;&gt;&gt;&gt; :),boyfriend takes roll toliet paper yougtgtgtgtgtgt :)
9065,joy,Omg I just found out about Startled Insect and now I'm pretty much good till Y2k12  #Doomsday #hobbies,Omg found Startled Insect Im pretty good till Y2k12 #Doomsday #hobbies
9066,neutral,Hello ? ,Hello 
9067,joy,First thing to eat after a night out ,thing eat night
9068,sadness,"Woke up craving warm, gooey chocolate chip cookies. Alas... there are none to be had.  ",Woke craving warm gooey chocolate chip cookies Alas had
9069,anger,Carlie and Harvey feel bitter and resentful about the way they 've been treated . ,Carlie Harvey feel bitter resentful way ve treated 
9070,joy, Ok . I'll call you Saturday morning . ,Ok  Ill Saturday morning 
9071,fear,This song played when mark walberg banged Reese whitherspoon on the roller coaster ,song played mark walberg banged Reese whitherspoon roller coaster
9072,disgust,drugs are bad i dont like when people brag about doing them! ,drugs bad dont like people brag them
9073,joy,"Thinking about the progress my JB (Mr Bryant) is making in hospital fills my heart with I Love you JB, keep fighting! XxX",Thinking progress JB (Mr Bryant) making hospital fills heart Love JB fighting XxX
9074,neutral," I can try , but knowing Margaret she will see through that immediately . ",try  knowing Margaret immediately 
9075,sadness,It seems like I'm sharing the same feeling with everybody tonight. #regret,like Im sharing feeling everybody tonight #regret
9076,anger,Have u ever bashed some one so hard in the face it feels like u fractured every bone in ur hand we call the ,u bashed hard face feels like u fractured bone ur hand
9077,joy,Good Morning world!  to everyone!! Rise &amp; shine with  &amp; #Peace in your today! Be #thankful for your blessings!,Good Morning world everyone Rise amp shine amp #Peace today #thankful blessings
9078,joy,"Nothing more beautiful than seeing the on children's faces as they decorate the  #Christmas tree, filled with hope and anticipation.",beautiful seeing childrens faces decorate #Christmas tree filled hope anticipation
9079,sadness,In desperate need of Daisy perfume  ,desperate need Daisy perfume
9080,surprise,I've always wanted to ask a girl out by leading her with rose pedals to the bathroom where I'm standing with a butcher knife  ,Ive wanted ask girl leading rose pedals bathroom Im standing butcher knife
9081,joy, When are getting married ? ,getting married 
9082,neutral, Sure . ,Sure 
9083,fear,He felt a bit worried at this and started to question her . ,felt bit worried started question 
9084,joy,"She cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry . ",cackled  delighted queasy mixture plate  hot brown coffee lapping pale wedge sugared pastry 
9085,joy,Just been out for lunch ... bird poop on the car windscreen and not just bird poop... FROZEN bird poop ,lunch  bird poop car windscreen bird poop FROZEN bird poop
9086,joy,Face painting for this school. ,Face painting school
9087,sadness,I did. All I could ever make out was hair and sometimes butt. You couldn't tell who was who though. ,did hair butt tell though
9088,joy,I love catching people who are discreetly trying to pick their nose.  ,love catching people discreetly trying pick nose
9089,fear,F.E.A.R. - False Evidence Appearing Real.  #quotes #quote #kktny #ff #follow #kardashians #kardashians #kuwtk,FEAR  False Evidence Appearing Real #quotes #quote #kktny #ff #follow #kardashians #kardashians #kuwtk
9090,sadness,"Muchos culpan y recriminan el armamento, pero el problema del hombre no está en las armas....está en su corazón. ",Muchos culpan recriminan el armamento pero el problema del hombre está en las armasestá en su corazón
9091,sadness,"Pastry shop isnt open today, u.u",Pastry shop isnt open today uu
9092,joy,Choose ur battles then let God fight 4 u &quot;@drmikemurdock:   ~ Your Depends..On What You Are Willing To Ignore. #Dad #drMM,Choose ur battles let God fight 4 u quot  ~ DependsOn Willing Ignore #Dad #drMM
9093,anger,Omg everyone SHUT THE FUCK UP about christmas present or I'll get none of you one!!!!!!!!!!!!!!!!!!!!!!!!!! -_-  #ANGER!,Omg SHUT FUCK christmas present Ill one  #ANGER
9094,joy,Open your arms and welcomethe joy of today! - Anonymous #Happiness #Gratitude,Open arms welcomethe joy today  Anonymous #Happiness #Gratitude
9095,fear,Emotional  is less tangible and far more powerful than physical risk. #innovate #creativity #DFMA,Emotional tangible far powerful physical risk #innovate #creativity #DFMA
9096,joy,Listening to Fabrizio Bosso Live @ Blue Note Milano! ,Listening Fabrizio Bosso Live @ Blue Note Milano
9097,joy,"Great, got a biology ISA this morning ",Great got biology ISA morning
9098,fear,"Despite the disquiet at the club this year , Mr Stringer still appears more relaxed and more in control than he did when he first took charge in that winter of 1987 . ",Despite disquiet club year  Mr Stringer appears relaxed control took charge winter 1987 
9099,fear,Ben Howard- sounds pretty good,Ben Howard sounds pretty good
9100,joy, You're lucky ! ,lucky 
9101,sadness,I hate when u don't show up ,hate u
9102,anger,I was waiting to receive the participation on the profits and did not receive it.,waiting receive participation profits receive it
9103,sadness,"When my little brother passed away mysteriously, at least from what I was told about it.",little brother passed away mysteriously told it
9104,fear,"Niggas is bitch everytime you see me you walking with your head down , cmon son i dont want you to me .",Niggas bitch everytime walking head  cmon son dont want 
9105,sadness,Last class with naomi gal ,class naomi gal
9106,joy,waking up to weed and its still in the bag..&#xA;#iheartweed,waking weed bag#xA#iheartweed
9107,fear,.. I pop bottles cause I bottle my Emotions ... at least I put it all in the open ... , pop bottles cause bottle Emotions  open 
9108,joy,@My_NonExistence Im not little casper -____- im NOT a ghost nor any type of creature...Im human....,  Im little casper  im ghost type creatureIm human
9109,anger,Just remember you have to walk through a parking lot sometime and I have a car @Prendizzler ,remember walk parking lot car  
9110,surprise,Goedemorgen! Heb gisteren de Nobelprijs voor de Literatuur gekregen. Ben er nog diep van onder de indruk... #goedheiligman,Goedemorgen Heb gisteren de Nobelprijs voor de Literatuur gekregen Ben er nog diep van onder de indruk #goedheiligman
9111,disgust,"Young Pregnant hoes, thats not about they biz, me...",Young Pregnant hoes thats biz me
9112,joy,REJOICE! RT @MazzESPN: johan petro is the only  player at the facility right now. ,REJOICE RT   johan petro player facility right now
9113,joy,"Still sick. Hoping to be sent home from work. Can't talk, headache at the ready to ramp up to near-migrane again... #sarcasticaFont",sick Hoping sent home work Cant talk headache ready ramp nearmigrane again #sarcasticaFont
9114,joy,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.,Getting University Entrance accredited arriving home boarding school accrediting leave
9115,joy,Love days where I have to study for 12 hours.. lucky for me that's the next 6 days ,Love days study 12 hours lucky thats 6 days
9116,surprise,Brown bag special ,Brown bag special
9117,joy,The birth of my first child.,birth child
9118,surprise,@MedusaInDespair 13 year old dating! Do they start that young?  ,  13 year old dating start young
9119,sadness," Yeah . It ’ s pretty bad , that car looks like a coke can . ",Yeah  ’ pretty bad  car looks like coke 
9120,surprise,CANT STOP BRAGGING MAC MILLER IN MARCH W/ME DJING DANBURY CT!!! ,CANT STOP BRAGGING MAC MILLER MARCH W/ME DJING DANBURY CT
9121,fear,What is profound might become absolutely meaningless,profound absolutely meaningless
9122,fear,A shadow...will be interpreted as being followed  by a paranoid schizophrenic #anxiety #suspicion,shadowwill interpreted followed paranoid schizophrenic #anxiety #suspicion
9123,sadness,@_sugaSuga I KNOW!!!! I me a dirty fuck!!! I never got my chance to have him and @JediNympho together mmm mmm mmm ,  KNOW dirty fuck got chance   mmm mmm mmm
9124,sadness,"That afternoon I received two messages informing me, one that my brother was in a coma in the U.T.H suffering (kidney disease) and two, that my uncle met with an accident on his way to the hospital  to see my brother.",afternoon received messages informing me brother coma UTH suffering (kidney disease) two uncle met accident way hospital brother
9125,fear,&quot;No sleep today.. can't even rest when the sun's down.&quot; ,quotNo sleep today cant rest suns downquot
9126,sadness,The death of my twin sister - suicide.,death twin sister  suicide
9127,joy,Sir Jack Brabham says he 's never been so excited about a new motor car and the challenge is to go and take on the best ,Sir Jack Brabham says s excited new motor car challenge best
9128,sadness,I need 1200 more words but my brain is just making bird noises.  ,need 1200 words brain making bird noises
9129,fear,wake up in the morning eat some flakes buck up go to work for poverty wages send your kids to #FEAR war get sick go broke repeat.,wake morning eat flakes buck work poverty wages send kids #FEAR war sick broke repeat
9130,sadness,When I could not do anything because of a bad back.,bad back
9131,neutral," Oh , I see . ",Oh  
9132,sadness,my car got broken into at office max...what an awesome day. i have no phone or camera or window.... #worstdayever,car got broken office maxwhat awesome day phone camera window #worstdayever
9133,surprise,With @tidus_jm everyday upon waking up beside you is a for me !!! I Love you Baby @tidus_jm !!! ,  everyday waking  Love Baby   
9134,fear,It was not long ago when I and two of friends of mine got quite drunk and one of them began to rave under the influence of the alcohol. I felt fear of what could have happened.,long ago friends got drunk began rave influence alcohol felt fear happened
9135,joy,When I had my first boyfriend.,boyfriend
9136,joy,Happiness lies in the of achievement and the thrill of creative effort. #Quote ~ Franklin D. Roosevelt // ty4rt @enjoielife / @ShiCooks,Happiness lies achievement thrill creative effort #Quote ~ Franklin D Roosevelt // ty4rt   /  
9137,sadness,"Yep, some pretty crappy feelings have reared their heads. #anger #uselessness Try &amp; sleep those guys away. #twexit",Yep pretty crappy feelings reared heads #anger #uselessness Try amp sleep guys away #twexit
9138,joy,You ca n't get very excited when she brings home half-price loo rolls and stale cough sweets . ,nt excited brings home halfprice loo rolls stale cough sweets 
9139,joy,Got the mew tv and surround sound system for the FROG now its my job to reorganize the whole thing ,Got mew tv surround sound system FROG job reorganize thing
9140,joy,@Lizz_Collins So. I feel like I haven't tweeted anything to you in way too long. So here's my  tweet to you. 33 days. ,  So feel like tweeted way long heres tweet you 33 days
9141,fear,"In the firm clutch of the and with a 7am training session in the morning, things aren't looking particularly promising",firm clutch 7am training session morning things looking particularly promising
9142,anger,@_Lancifer   sweets needs to shut it on this one to booth.  Angela is right...bren is the only one that can help him.  #love,  sweets needs shut booth Angela rightbren help him #love
9143,joy,4 hour car ride ,4 hour car ride
9144,joy,Bacon sandwich on a sunday morning ,Bacon sandwich sunday morning
9145,surprise,Shut the front door! My brother just waltzed in from  ,Shut door brother waltzed
9146,joy,Joy does not simply happen to us. We have to choose joy and keep choosing it every day. ,Joy simply happen us choose joy choosing day
9147,sadness,Basically I just wanna hibernate till next saturday but seeing as I can't tomorrow morning will just have to do!,Basically wanna hibernate till saturday seeing cant tomorrow morning do
9148,sadness,"Protagonists of unity may have been despondent about the loss of the EDC and the European Political Community , but were not routed . ",Protagonists unity despondent loss EDC European Political Community  routed 
9149,fear,"He predicted ` deep dismay in Hong Kong , deepened only by the statement of the official Opposition . "" ",predicted  deep dismay Hong Kong  deepened statement official Opposition  
9150,sadness,man. must now leave the warmth of my pvt bath and heater to brave the cold and wet outside to go food shopping. ,man leave warmth pvt bath heater brave cold wet outside food shopping
9151,neutral, Yes . ,Yes 
9152,neutral," It'll be close , but we'll make it . ",Itll close  well 
9153,neutral,What sports do you like to play ? ,sports like play 
9154,surprise,Net nog ff een vette remix gemaakt voor Drama stukje met @Bojan JWZ ,Net nog ff een vette remix gemaakt voor Drama stukje met   JWZ
9155,surprise,Sanne en kids van mijn vriendin naar school brengen. Echt creatief geweest laatste dagen. Zij nu sinterklaasfeest vieren op school ,Sanne en kids van mijn vriendin naar school brengen Echt creatief geweest laatste dagen Zij nu sinterklaasfeest vieren op school
9156,anger,Why didn't you tell me you had a girlfriend ? ,tell girlfriend 
9157,joy,@nicknewbould - @Rayguitarman will miss you really! Just in the lounge at Euston waiting to come home eating my body weight in Pretzels ,     miss really lounge Euston waiting come home eating body weight Pretzels
9158,joy,What's all this sunshine bullshit? (Payday today) #whathappenedtoautumn,Whats sunshine bullshit (Payday today) #whathappenedtoautumn
9159,joy,RT: @danecook: I just shit my pants. Pure 100% gravy. ,RT:   shit pants Pure 100% gravy
9160,fear,His two thumbs rotated about one another as they always did when he was agitated and looking for a way to strike . ,thumbs rotated agitated looking way strike 
9161,surprise,Oh em gee. Tommy Lee Jones is in the old &quot;Charlie's Angels!&quot; AHahaha! God bless late night homework and background TV. ,Oh em gee Tommy Lee Jones old quotCharlies Angelsquot AHahaha God bless late night homework background TV
9162,joy,&amp; naw dez aint no mad tweets im stil jus as happi as I can b yal want steal my ,amp naw dez aint mad tweets im stil jus happi b yal want steal
9163,joy,Just got my fortune told. I'm gonna marry a slightly over weight man with blonde messy hair and a braided beard :( ,got fortune told Im gonna marry slightly weight man blonde messy hair braided beard :(
9164,fear,In life there is either  or -I pick #confidence ~David Murphy,life I pick #confidence ~David Murphy
9165,anger,Furious Tory MPs now want to go to the High Court to force a new ballot . ,Furious Tory MPs want High Court force new ballot 
9166,fear,&quot;If you  someone tell him or her. Forget about the rules or the of looking ridiculous.&quot;,quotIf tell her Forget rules looking ridiculousquot
9167,surprise,@slgoodson @digorio @matthewmoofish @joshuachurchill I'm trying so hard to get back to Charlotte in time to see y'all tonight!! ,        Im trying hard Charlotte time yall tonight
9168,anger,"&quot;He passed Away and i Didnt Cry, Cuz My wouldn't let me feel for a STRANGER&quot; --2pac",quotHe passed Away Didnt Cry Cuz let feel STRANGERquot 2pac
9169,sadness,"He was not overwhelmed with grief for Kit , but evidently his eyes felt otherwise . ",overwhelmed grief Kit  evidently eyes felt 
9170,neutral, Fine . ,Fine 
9171,fear,"!! @FEARLESS_TIP &quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",   quot  afraid tomorrow seen yesterday love today #lessquot
9172,joy,"Removal van outside. Looks like it's taking noisy, argumentative neighbours and their stuff out of my life forever. ",Removal van outside Looks like taking noisy argumentative neighbours stuff life forever
9173,disgust,Lamar Odom? Seriously? One of the worst pick ups in recent history. And now the Kardashians will be in Dallas. #disappointed,Lamar Odom Seriously worst pick ups recent history Kardashians Dallas #disappointed
9174,joy,"Our pastor asked us to join in him in fasting, for 40 days, in this: eat right and exercise.   ",pastor asked join fasting 40 days this: eat right exercise
9175,sadness,When I got divorced from my husband after ten years of marriage.,got divorced husband years marriage
9176,anger,"I experienced this when one of my friends reported to the Headmaster that I had gone out for beer, whilst the information was not true at all. So I had to fight the friend before the Headmaster.",experienced friends reported Headmaster gone beer whilst information true all fight friend Headmaster
9177,joy,Hyvee playing christmas music already? Well... Atleast its after thanksgiving ,Hyvee playing christmas music already Well Atleast thanksgiving
